serviceName,Genre,isCustomizable,customizationOptions,price,time,description,Detail,View Detail
Replace CFL to LED,Light,0,,129/-,30 min,"Covers installation only. CFL/spare parts sourced
separately.","Included
Replacement of one CFL bulb/ tube light to LED bulb/ tube light
Procurement of spare parts (at extra cost)
Uoons warranty & damage cover*
Excluded
Ceiling light replacement","Please note :-
Our partners do not carry a ladder, please
arrange for one if required.
Warranty does not cover spare parts
provided by customers.                                                       How it works :- 
Diagnosis
Our partner will visit your home &
diagnose the issue.
Cost estimation
The final estimate will be provided after
the diagnosis process.
Spare parts procurement
Partner will be responsible for procuring
& obtaining the required spare parts at an
additional cost                                                        Standardised repair process
Our partner will handle the entire task &
perform any necessary work.
Post-service cleanup
Our partner will thoroughly clean the
surround area & surfaces.                                           Overview
Trained professionals                                               Background verified
30-day warranty"
Decorative lights installation,Light,0,,89/-,30 min,"Covers installation only. Light/spare parts sourced
separately.","Included
Installation of decorative lights, includes wiring, connectivity &
clipping
Procurement of spare parts (at extra cost)
Minor wiring up to 2m, if needed (wire at extra cost)
Clean up after service
Free revisit in case the issue occurs within 30 days
Excluded
Major wiring (more than 2 m)/new wiring (at extra cost)
Warranty on spare parts provided by customer","Please note :-
Our partners do not carry a ladder, please
arrange for one if required.
Warranty does not cover spare parts
provided by customers.                                                       How it works :- 
Diagnosis
Our partner will visit your home &
diagnose the issue.
Cost estimation
The final estimate will be provided after
the diagnosis process.
Spare parts procurement
Partner will be responsible for procuring
& obtaining the required spare parts at an
additional cost                                                        Standardised repair process
Our partner will handle the entire task &
perform any necessary work.
Post-service cleanup
Our partner will thoroughly clean the
surround area & surfaces.                                           Overview
Trained professionals                                               Background verified
30-day warranty"
Decorative lights uninstallation,Light,0,,99/-,30 min,"Covers installation only. Light/spare parts sourced
separately.","Included
Uninstallation of decorative lights (20m)
Procurement of spare parts (at extra cost)
Minor wiring up to 2m, if needed (wire at extra cost)
Clean-up after the service
Free revisit in case the issue occurs within 30 days
Excluded
Major wiring (more than 2 m)/new wiring (at extra cost)
Warranty on spare parts provided by customer","Please note :-
Our partners do not carry a ladder, please
arrange for one if required.
Warranty does not cover spare parts
provided by customers.                                                       How it works :- 
Diagnosis
Our partner will visit your home &
diagnose the issue.
Cost estimation
The final estimate will be provided after
the diagnosis process.
Spare parts procurement
Partner will be responsible for procuring
& obtaining the required spare parts at an
additional cost                                                        Standardised repair process
Our partner will handle the entire task &
perform any necessary work.
Post-service cleanup
Our partner will thoroughly clean the
surround area & surfaces.                                           Overview
Trained professionals                                               Background verified
30-day warranty"
Decorative lantern installation,Light,0,,99/-,30 min,"Covers installation only. Light/spare parts sourced
separately.","Included
Installation of one lantern
Procurement of spare parts (at extra cost)
Minor wiring up to 2m, if needed (wire at extra cost)
Clean-up after the service
Free revisit in case the issue occurs within 30 days
Excluded
Major wiring (more than 2 m)/new wiring (at extra cost)
Warranty on spare parts provided by customer","Please note :-
Our partners do not carry a ladder, please
arrange for one if required.
Warranty does not cover spare parts
provided by customers.                                                       How it works :- 
Diagnosis
Our partner will visit your home &
diagnose the issue.
Cost estimation
The final estimate will be provided after
the diagnosis process.
Spare parts procurement
Partner will be responsible for procuring
& obtaining the required spare parts at an
additional cost                                                        Standardised repair process
Our partner will handle the entire task &
perform any necessary work.
Post-service cleanup
Our partner will thoroughly clean the
surround area & surfaces.                                           Overview
Trained professionals                                               Background verified
30-day warranty"
Chandelier installation,Light,0,,549/-,30 min,"Covers installation only. Chandelier/spare parts sourced
separately.","Included
Installation of one chandelier
Procurement of spare parts (at extra cost)
Minor wiring up to 2m, if needed (wire at extra cost)
Clean-up after the service
Free revisit in case the issue occurs within 30 days
Excluded
Major wiring (more than 2 m)/new wiring (at extra cost)
Warranty on spare parts provided by customer","Please note :-
Our partners do not carry a ladder, please
arrange for one if required.
Warranty does not cover spare parts
provided by customers.                                                       How it works :- 
Diagnosis
Our partner will visit your home &
diagnose the issue.
Cost estimation
The final estimate will be provided after
the diagnosis process.
Spare parts procurement
Partner will be responsible for procuring
& obtaining the required spare parts at an
additional cost                                                        Standardised repair process
Our partner will handle the entire task &
perform any necessary work.
Post-service cleanup
Our partner will thoroughly clean the
surround area & surfaces.                                           Overview
Trained professionals                                               Background verified
30-day warranty"
New wiring without casing (per 5m),Wiring,0,,89/-,30 min,"Covers installation only. Wires/spare parts sourced
separately.","Included
Wiring without outer casing for a single connection
Procurement of spare parts (at extra cost)
Drilling and nailing
Clean-up after the service
Uoons warranty & damage cover*","Please note :-
Our partners do not carry a ladder, please
arrange for one if required.
Warranty does not cover spare parts
provided by customers.                                                       How it works :- 
Diagnosis
Our partner will visit your home &
diagnose the issue.
Cost estimation
The final estimate will be provided after
the diagnosis process.
Spare parts procurement
Partner will be responsible for procuring
& obtaining the required spare parts at an
additional cost                                                        Standardised repair process
Our partner will handle the entire task &
perform any necessary work.
Post-service cleanup
Our partner will thoroughly clean the
surround area & surfaces.                                           Overview
Trained professionals                                               Background verified
30-day warranty"
New wiring with casing (per 5m),Wiring,0,,209-,30 min,"Covers installation only. Wires/spare parts sourced
separately.","Included
Wiring with outer casing and capping for a single connection
Procurement of spare parts (at extra cost)
Drilling and nailing
Clean-up after the service
Uoons warranty & damage cover*
Excluded
Cementing and painting of damaged wall","Please note :-
Our partners do not carry a ladder, please
arrange for one if required.
Warranty does not cover spare parts
provided by customers.                                                       How it works :- 
Diagnosis
Our partner will visit your home &
diagnose the issue.
Cost estimation
The final estimate will be provided after
the diagnosis process.
Spare parts procurement
Partner will be responsible for procuring
& obtaining the required spare parts at an
additional cost                                                        Standardised repair process
Our partner will handle the entire task &
perform any necessary work.
Post-service cleanup
Our partner will thoroughly clean the
surround area & surfaces.                                           Overview
Trained professionals                                               Background verified
30-day warranty"
New internal wiring (per 5m),Wiring,0,,159/-,30 min,"Covers installation only. Wires/spare parts sourced
separately.","Included
Concealed conduit internal wiring for a new connection
Procurement of spare parts (at extra cost)
Clean-up after the service
Uoons warranty & damage cover*
Warranty on spare parts provided or sourced by Uoons
Excluded                                                                       Cementing and painting of damaged wall","Please note :-
Our partners do not carry a ladder, please
arrange for one if required.
Warranty does not cover spare parts
provided by customers.                                                       How it works :- 
Diagnosis
Our partner will visit your home &
diagnose the issue.
Cost estimation
The final estimate will be provided after
the diagnosis process.
Spare parts procurement
Partner will be responsible for procuring
& obtaining the required spare parts at an
additional cost                                                        Standardised repair process
Our partner will handle the entire task &
perform any necessary work.
Post-service cleanup
Our partner will thoroughly clean the
surround area & surfaces.                                           Overview
Trained professionals                                               Background verified
30-day warranty"
Door bell replacement,Door bell,0,,79/-,30 min,"Covers replacement only. Door bell/spare parts sourced
separately.","Included
Replacement of one doorbell
Procurement of spare parts (at extra cost)
Minor wiring up to 2m, if needed
Clean-up after the service
Uoons warranty & damage cover*
Excluded
Major wiring (more than 2m)/ new wiring (at extra cost)
Replacement of video doorbell","Please note :-
Our partners do not carry a ladder, please
arrange for one if required.
Warranty does not cover spare parts
provided by customers.                                                       How it works :- 
Diagnosis
Our partner will visit your home &
diagnose the issue.
Cost estimation
The final estimate will be provided after
the diagnosis process.
Spare parts procurement
Partner will be responsible for procuring
& obtaining the required spare parts at an
additional cost                                                        Standardised repair process
Our partner will handle the entire task &
perform any necessary work.
Post-service cleanup
Our partner will thoroughly clean the
surround area & surfaces.                                           Overview
Trained professionals                                               Background verified
30-day warranty"
Door bell installation,Door bell,0,,59/-,30 min,"Covers installation only. Door bell/spare parts sourced
separately.","Included
Installation of one doorbell
Procurement of spare parts (at extra cost)
Minor wiring up to 2m, if needed
Clean-up after the service
Uoons warranty & damage cover*
Excluded
Major wiring (more than 2m)/ new wiring (at extra cost)
Installation of switch, video doorbell","Please note :-
Our partners do not carry a ladder, please
arrange for one if required.
Warranty does not cover spare parts
provided by customers.                                                       How it works :- 
Diagnosis
Our partner will visit your home &
diagnose the issue.
Cost estimation
The final estimate will be provided after
the diagnosis process.
Spare parts procurement
Partner will be responsible for procuring
& obtaining the required spare parts at an
additional cost                                                        Standardised repair process
Our partner will handle the entire task &
perform any necessary work.
Post-service cleanup
Our partner will thoroughly clean the
surround area & surfaces.                                           Overview
Trained professionals                                               Background verified
30-day warranty"
MCB fuse replacement,MCB & Fuse,0,,79/-,30 min,"Covers replacement only. MCB fuse/spare parts sourced
separately.","Included
Replacement of one MCB fuse
Procurement of spare parts (at extra cost)
Minor wiring up to 2m, if needed
Clean-up after the service
Uoons warranty & damage cover*","Please note :-
Our partners do not carry a ladder, please
arrange for one if required.
Warranty does not cover spare parts
provided by customers.                                                       How it works :- 
Diagnosis
Our partner will visit your home &
diagnose the issue.
Cost estimation
The final estimate will be provided after
the diagnosis process.
Spare parts procurement
Partner will be responsible for procuring
& obtaining the required spare parts at an
additional cost                                                        Standardised repair process
Our partner will handle the entire task &
perform any necessary work.
Post-service cleanup
Our partner will thoroughly clean the
surround area & surfaces.                                           Overview
Trained professionals                                               Background verified
30-day warranty"
Sub meter installation,MCB & Fuse,0,,219/-,30 min,"Covers installation only. Sub meter/spare parts sourced
separately.","Included
Installation of one sub-meter with minor wiring work
Procurement of spare parts (at extra cost)
Minor wiring up to 2m, if needed
Clean-up after the service
Uoons warranty & damage cover*
Excluded
Major wiring (more than 2m)/ new wiring (at extra cost)","Please note :-
Our partners do not carry a ladder, please
arrange for one if required.
Warranty does not cover spare parts
provided by customers.                                                       How it works :- 
Diagnosis
Our partner will visit your home &
diagnose the issue.
Cost estimation
The final estimate will be provided after
the diagnosis process.
Spare parts procurement
Partner will be responsible for procuring
& obtaining the required spare parts at an
additional cost                                                        Standardised repair process
Our partner will handle the entire task &
perform any necessary work.
Post-service cleanup
Our partner will thoroughly clean the
surround area & surfaces.                                           Overview
Trained professionals                                               Background verified
30-day warranty"
Double pole MCB installation,MCB & Fuse,0,,149/-,30 min,"Covers installation only. MCB/spare parts sourced
separately.","Included
Installation of double pole MCB
Procurement of spare parts (at extra cost)
Minor wiring up to 2m, if needed
Clean-up after the service
Uoons warranty & damage cover*
Excluded
Major wiring (more than 2m)/ new wiring (at extra cost)","Please note :-
Our partners do not carry a ladder, please
arrange for one if required.
Warranty does not cover spare parts
provided by customers.                                                       How it works :- 
Diagnosis
Our partner will visit your home &
diagnose the issue.
Cost estimation
The final estimate will be provided after
the diagnosis process.
Spare parts procurement
Partner will be responsible for procuring
& obtaining the required spare parts at an
additional cost                                                        Standardised repair process
Our partner will handle the entire task &
perform any necessary work.
Post-service cleanup
Our partner will thoroughly clean the
surround area & surfaces.                                           Overview
Trained professionals                                               Background verified
30-day warranty"
3 Phase changeover switch installation,MCB & Fuse,0,,249/-,30 min,"Covers installation only. Switch/spare parts sourced
separately.","Included
Installation of one 3-phase changeover switch
Procurement of spare parts (at extra cost)
Minor wiring up to 2m, if needed
Clean-up after the service
Uoons warranty & damage cover*
Excluded
Major wiring (more than 2m)/ new wiring (at extra cost)","Please note :-
Our partners do not carry a ladder, please
arrange for one if required.
Warranty does not cover spare parts
provided by customers.                                                       How it works :- 
Diagnosis
Our partner will visit your home &
diagnose the issue.
Cost estimation
The final estimate will be provided after
the diagnosis process.
Spare parts procurement
Partner will be responsible for procuring
& obtaining the required spare parts at an
additional cost                                                        Standardised repair process
Our partner will handle the entire task &
perform any necessary work.
Post-service cleanup
Our partner will thoroughly clean the
surround area & surfaces.                                           Overview
Trained professionals                                               Background verified
30-day warranty"
Single pole MCB installation,MCB & Fuse,0,,99/-,30 min,"Covers installation only. MCB/spare parts sourced
separately.","Included
Installation of single pole MCB
Procurement of spare parts (at extra cost)
Minor wiring up to 2m, if needed
Clean-up after the service
Uoons warranty & damage cover*
Excluded
Major wiring (more than 2m)/ new wiring (at extra cost)","Please note :-
Our partners do not carry a ladder, please
arrange for one if required.
Warranty does not cover spare parts
provided by customers.                                                       How it works :- 
Diagnosis
Our partner will visit your home &
diagnose the issue.
Cost estimation
The final estimate will be provided after
the diagnosis process.
Spare parts procurement
Partner will be responsible for procuring
& obtaining the required spare parts at an
additional cost                                                        Standardised repair process
Our partner will handle the entire task &
perform any necessary work.
Post-service cleanup
Our partner will thoroughly clean the
surround area & surfaces.                                           Overview
Trained professionals                                               Background verified
30-day warranty"
Minor repair/installation,Looking for something else?,0,,99/-,30 min,"• Book an expert electrician for on-site issue
inspection
• Actual prices based on scope of work and rate card",,"Please note :-
Our partners do not carry a ladder, please
arrange for one if required.
Warranty does not cover spare parts
provided by customers.                                                       How it works :- 
Diagnosis
Our partner will visit your home &
diagnose the issue.
Cost estimation
The final estimate will be provided after
the diagnosis process.
Spare parts procurement
Partner will be responsible for procuring
& obtaining the required spare parts at an
additional cost                                                        Standardised repair process
Our partner will handle the entire task &
perform any necessary work.
Post-service cleanup
Our partner will thoroughly clean the
surround area & surfaces.                                           Overview
Trained professionals                                               Background verified
30-day warranty"
Book an electrician,Looking for something else?,0,,49/-,30 min,"• Includes inspection charges
• Actual prices based on scope of work and rate card",,"Please note :-
Our partners do not carry a ladder, please
arrange for one if required.
Warranty does not cover spare parts
provided by customers.                                                       How it works :- 
Diagnosis
Our partner will visit your home &
diagnose the issue.
Cost estimation
The final estimate will be provided after
the diagnosis process.
Spare parts procurement
Partner will be responsible for procuring
& obtaining the required spare parts at an
additional cost                                                        Standardised repair process
Our partner will handle the entire task &
perform any necessary work.
Post-service cleanup
Our partner will thoroughly clean the
surround area & surfaces.                                           Overview
Trained professionals                                               Background verified
30-day warranty"
Power Saver AC service,AC Repair & Service Split/Window,1,"""Split"", ""Window""",549/-,30 min,"• Advanced Foam-jet technology
• Deep jet cleaning of outdoor unit","How it works
Deep cleaning
Deep cleaning of indoor & outdoor unit before the anti-rust protection is applied                                                           Anti-rust protection
Specialised anti-rust coating for copper coils to prevent gas leakage (Upto 1 year)                                            ","About the service
Advanced Foam-jet cleaning of indoor unit
Thorough cleaning of outdoor unit
Final checks & clean-up                                                    powersaver
Save up to 8,000 on your electricity bill
Advanced Foam-jet technology for
superior cleaning & better savings
Get a detailed savings report post-service                        How it works
Pre-service checks
Detailed inspection including gas check to identify repairs.   
Jacket for mess-free service
AC jacket for spill prevention during service and cleanup of the work area                                                                 Indoor unit Foam-jet cleaning
Deep cleaning of filters, coils, fins, and drain trays using perfectly safe Foam Jet technology                                        Outdoor unit Powerjet cleaning
Opening and thorough cleaning with a Power-jet (if easily accessible)                                                                                     Final checks & clean-up
Technician ensures proper functioning by checking for pipe blockaqes & drain tray leakaqe                                         Personal energy saving report
Get a detailed savings report on our app after the cleaning service of your AC unit"
Anti-rust deep clean AC service,AC Repair & Service Split/Window,1,"""Split"", ""Window""",949/-,30 min,"• Prevents frequent gas leakages through a unique
anti-rust spray
• Applicable on both split and window Acs","What's included
Accurate inspection followed by repair quotation
Adjustment of inspection fee €599) in invoice, if UC repair service is availed
AC repair using high-quality spare parts & tools
Final check & cleanup
Note
Ladders are not carried by the technicians. Please arrange one if the AC is at a height.","How it works
Deep cleaning
Deep cleaning of indoor & outdoor unit before the anti-rust protection is applied                                                           Anti-rust protection
Specialised anti-rust coating for copper coils to prevent gas leakage (Upto 1 year)                                            "
AC repair (split/ window),AC Repair & Service Split/Window,1,"""Split"", ""Window""",299/-,30 min,"• Detailed issue diagnosis with same day resolution
• Visit charges of <299 will be adjusted in the final bill","What's included
Accurate inspection followed by repair
quotation
Adjustment of inspection fee €599) in
invoice, if UC repair service is availed
AC repair using high-quality spare parts &
tools
Final check & cleanup
Note
Ladders are not carried by the technicians.
Please arrange one if the AC is at a height.",
Gas leak fix & refill,AC Repair & Service Split/Window,1,"""Split"", ""Window""","2,500/-",30 min,"Thorough diagnosis, leak identification & fixing, gas
refill to avoid leakages","How it works
Pre-service checks
Voltage, ampere, pressure and other safety checks            Leak identification & fixing
Leak testing with nitrogen, compressed air & soap solution. Fixing the leaks by brazing & rechecking                Gas refill
Filling of the gas by weight/ back pressure                             Post-service cleanup
Post-service cleanup of the AC & service area                      Final checks
Technician checks AMP, pressure, air flow, temp, noise level in the end to ensure proper functioning","How it works
Pre-service checks
Voltage, ampere, pressure and other safety checks            Leak identification & fixing
Leak testing with nitrogen, compressed air & soap solution. Fixing the leaks by brazing & rechecking                Gas refill
Filling of the gas by weight/ back pressure                             Post-service cleanup
Post-service cleanup of the AC & service area                      Final checks
Technician checks AMP, pressure, air flow, temp, noise level in the end to ensure proper functioning"
AC installation,AC Repair & Service Split/Window,1,"""Split"", ""Window""",799/-,30 min,"• Installation of indoor & outdoor units with free gas
check
• Procurement of spare parts (at extra cost)","What's included
Drilling, wiring connections, installation of
the units (indoor & outdoor) & pipe fixes
Gas check to prevent leakages
Cooling rate & device checks followed by
cleanup of service area                                                              Excluded
Uninstallation of the existing AC
Spare parts like copper wires & pipes
(extra charges as per rate card)
Stands & fastener (for fixing stand)
Masonry/ woodwork
POP filling
Core cutting
We do not carry a ladder, please arrange
one before the service",
AC uninstallation,AC Repair & Service Split/Window,1,"""Split"", ""Window""",399/-,30 min,Uninstallation of both indoor & outdoor units,"What's included
Uninstallation of indoor & outdoor units
Pipe fixes
AC packing (material to be provided by
the customer)
Cleanup of service area                                                             Excluded
Spare parts (extra charges as per rate
card)
Masonry/ woodwork
Covering up the AC opening space & POP
filling
Packing material
We do not carry a ladder, please arrange
one before the service",
Microwave repair,Microwave Repair,0,,160/-,30 min,"Price covers diagnosis visit; spare parts are charged
based on the rate card.","How it works
Microwave checkup
Our professional visits your home &diagnoses the issue. Final cost is provided after diagnosis
Adjustment of inspection fee                                           Inspection fee is further adjusted in the
final bill, if you choose to go ahead with the repair
Fixed rate spare parts
Best quality spare parts are used to
repair the appliance                                                                    Standardised repair process
Our trained professional ensures that the
appliance is handled with proper care                                     Please note
Repair costs will be provided after
diagnosis
The visitation charge will be adjusted in
the repair cost
We do not repair commercial appliances
We do not repair OTG                                 ","How it works
Microwave checkup
Our professional visits your home &diagnoses the issue. Final cost is provided after diagnosis
Adjustment of inspection fee                                           Inspection fee is further adjusted in the
final bill, if you choose to go ahead with the repair
Fixed rate spare parts
Best quality spare parts are used to
repair the appliance                                                                    Standardised repair process
Our trained professional ensures that the
appliance is handled with proper care                                     Please note
Repair costs will be provided after
diagnosis
The visitation charge will be adjusted in
the repair cost
We do not repair commercial appliances
We do not repair OTG                                 "
Button Not Working,Microwave Repair,0,,160/-,30 min,"Price covers diagnosis visit; spare parts are charged
based on the rate card.",,"How it works
Microwave checkup
Our professional visits your home &diagnoses the issue. Final cost is provided after diagnosis
Adjustment of inspection fee                                           Inspection fee is further adjusted in the
final bill, if you choose to go ahead with the repair
Fixed rate spare parts
Best quality spare parts are used to
repair the appliance                                                                    Standardised repair process
Our trained professional ensures that the
appliance is handled with proper care                                     Please note
Repair costs will be provided after
diagnosis
The visitation charge will be adjusted in
the repair cost
We do not repair commercial appliances
We do not repair OTG                                 "
Electical Issue/Not working,Microwave Repair,0,,160/-,30 min,"Price covers diagnosis visit; spare parts are charged
based on the rate card.",,"How it works
Microwave checkup
Our professional visits your home &diagnoses the issue. Final cost is provided after diagnosis
Adjustment of inspection fee                                           Inspection fee is further adjusted in the
final bill, if you choose to go ahead with the repair
Fixed rate spare parts
Best quality spare parts are used to
repair the appliance                                                                    Standardised repair process
Our trained professional ensures that the
appliance is handled with proper care                                     Please note
Repair costs will be provided after
diagnosis
The visitation charge will be adjusted in
the repair cost
We do not repair commercial appliances
We do not repair OTG                                 "
Noise Issue,Microwave Repair,0,,160/-,30 min,"Price covers diagnosis visit; spare parts are charged
based on the rate card.",,"How it works
Microwave checkup
Our professional visits your home &diagnoses the issue. Final cost is provided after diagnosis
Adjustment of inspection fee                                           Inspection fee is further adjusted in the
final bill, if you choose to go ahead with the repair
Fixed rate spare parts
Best quality spare parts are used to
repair the appliance                                                                    Standardised repair process
Our trained professional ensures that the
appliance is handled with proper care                                     Please note
Repair costs will be provided after
diagnosis
The visitation charge will be adjusted in
the repair cost
We do not repair commercial appliances
We do not repair OTG                                 "
Not Heating,Microwave Repair,0,,160/-,30 min,"Price covers diagnosis visit; spare parts are charged
based on the rate card.",,"How it works
Microwave checkup
Our professional visits your home &diagnoses the issue. Final cost is provided after diagnosis
Adjustment of inspection fee                                           Inspection fee is further adjusted in the
final bill, if you choose to go ahead with the repair
Fixed rate spare parts
Best quality spare parts are used to
repair the appliance                                                                    Standardised repair process
Our trained professional ensures that the
appliance is handled with proper care                                     Please note
Repair costs will be provided after
diagnosis
The visitation charge will be adjusted in
the repair cost
We do not repair commercial appliances
We do not repair OTG                                 "
Refrigerator checkup,Refrigerator Repair,1,"""Single Door"", ""Double Door"", ""Side-by-side Door""",160/-,30 min,"Price covers diagnosis visit; spare parts are charged
based on the rate card.",,"How it works                                                              Refrigerator checkup
The professional visits your home to
diagnose the problem. Final cost
provided post-diagnosis.
Adjustment of inspection fee
If you decide to go ahead with the repair,
the inspection fee will be adjusted in the
final bill
Fixed rate spare parts
High-quality spare parts are procured and
used for repair
Standardised repair process
The trained professional handles and works on the appliance with utmost care                             "
Door not closing,Refrigerator Repair,0,,160/-,30 min,"Price covers diagnosis visit; spare parts are charged
based on the rate card.",,"How it works                                                              Refrigerator checkup
The professional visits your home to
diagnose the problem. Final cost
provided post-diagnosis.
Adjustment of inspection fee
If you decide to go ahead with the repair,
the inspection fee will be adjusted in the
final bill
Fixed rate spare parts
High-quality spare parts are procured and
used for repair
Standardised repair process
The trained professional handles and works on the appliance with utmost care                             "
No cooling,Refrigerator Repair,1,"""Single Door"", ""Double Door"", ""Side-by-side Door""",160/-,30 min,"Price covers diagnosis visit; spare parts are charged
based on the rate card.",,"How it works                                                              Refrigerator checkup
The professional visits your home to
diagnose the problem. Final cost
provided post-diagnosis.
Adjustment of inspection fee
If you decide to go ahead with the repair,
the inspection fee will be adjusted in the
final bill
Fixed rate spare parts
High-quality spare parts are procured and
used for repair
Standardised repair process
The trained professional handles and works on the appliance with utmost care                             "
No power,Refrigerator Repair,1,"""Single Door"", ""Double Door"", ""Side-by-side Door""",160/-,30 min,"Price covers diagnosis visit; spare parts are charged
based on the rate card.","How it works                                                              Refrigerator checkup
The professional visits your home to
diagnose the problem. Final cost
provided post-diagnosis.
Adjustment of inspection fee
If you decide to go ahead with the repair,
the inspection fee will be adjusted in the
final bill
Fixed rate spare parts
High-quality spare parts are procured and
used for repair
Standardised repair process
The trained professional handles and works on the appliance with utmost care                             ","How it works                                                              Refrigerator checkup
The professional visits your home to
diagnose the problem. Final cost
provided post-diagnosis.
Adjustment of inspection fee
If you decide to go ahead with the repair,
the inspection fee will be adjusted in the
final bill
Fixed rate spare parts
High-quality spare parts are procured and
used for repair
Standardised repair process
The trained professional handles and works on the appliance with utmost care                             "
Noise Issue,Refrigerator Repair,1,"""Single Door"", ""Double Door"", ""Side-by-side Door""",160/-,30 min,"Price covers diagnosis visit; spare parts are charged
based on the rate card.",,"How it works                                                              Refrigerator checkup
The professional visits your home to
diagnose the problem. Final cost
provided post-diagnosis.
Adjustment of inspection fee
If you decide to go ahead with the repair,
the inspection fee will be adjusted in the
final bill
Fixed rate spare parts
High-quality spare parts are procured and
used for repair
Standardised repair process
The trained professional handles and works on the appliance with utmost care                             "
Water Leakage,Refrigerator Repair,1,"""Single Door"", ""Double Door""",160/-,30 min,"Price covers diagnosis visit; spare parts are charged
based on the rate card.",,"How it works                                                              Refrigerator checkup
The professional visits your home to
diagnose the problem. Final cost
provided post-diagnosis.
Adjustment of inspection fee
If you decide to go ahead with the repair,
the inspection fee will be adjusted in the
final bill
Fixed rate spare parts
High-quality spare parts are procured and
used for repair
Standardised repair process
The trained professional handles and works on the appliance with utmost care                             "
Excess cooling (front formation),Refrigerator Repair,0,,160/-,30 min,"Price covers diagnosis visit; spare parts are charged
based on the rate card.",,"How it works                                                              Refrigerator checkup
The professional visits your home to
diagnose the problem. Final cost
provided post-diagnosis.
Adjustment of inspection fee
If you decide to go ahead with the repair,
the inspection fee will be adjusted in the
final bill
Fixed rate spare parts
High-quality spare parts are procured and
used for repair
Standardised repair process
The trained professional handles and works on the appliance with utmost care                             "
Less power,Refrigerator Repair,1," ""Double Door"", ""Side-by-side Door""",160/-,30 min,"Price covers diagnosis visit; spare parts are charged
based on the rate card.",,"How it works                                                              Refrigerator checkup
The professional visits your home to
diagnose the problem. Final cost
provided post-diagnosis.
Adjustment of inspection fee
If you decide to go ahead with the repair,
the inspection fee will be adjusted in the
final bill
Fixed rate spare parts
High-quality spare parts are procured and
used for repair
Standardised repair process
The trained professional handles and works on the appliance with utmost care                             "
Less cooling,Refrigerator Repair,0,,160/-,30 min,"Price covers diagnosis visit; spare parts are charged
based on the rate card.",,"How it works                                                              Refrigerator checkup
The professional visits your home to
diagnose the problem. Final cost
provided post-diagnosis.
Adjustment of inspection fee
If you decide to go ahead with the repair,
the inspection fee will be adjusted in the
final bill
Fixed rate spare parts
High-quality spare parts are procured and
used for repair
Standardised repair process
The trained professional handles and works on the appliance with utmost care                             "
Cooling issue in deep freezer only ,Refrigerator Repair,0,,160/-,30 min,"Price covers diagnosis visit; spare parts are charged
based on the rate card.",,"How it works                                                              Refrigerator checkup
The professional visits your home to
diagnose the problem. Final cost
provided post-diagnosis.
Adjustment of inspection fee
If you decide to go ahead with the repair,
the inspection fee will be adjusted in the
final bill
Fixed rate spare parts
High-quality spare parts are procured and
used for repair
Standardised repair process
The trained professional handles and works on the appliance with utmost care                             "
Water Leakage (ice bUoonsket),Refrigerator Repair,0,,160/-,30 min,"Price covers diagnosis visit; spare parts are charged
based on the rate card.",,"How it works                                                              Refrigerator checkup
The professional visits your home to
diagnose the problem. Final cost
provided post-diagnosis.
Adjustment of inspection fee
If you decide to go ahead with the repair,
the inspection fee will be adjusted in the
final bill
Fixed rate spare parts
High-quality spare parts are procured and
used for repair
Standardised repair process
The trained professional handles and works on the appliance with utmost care                             "
Water Leakage (refrigerator),Refrigerator Repair,1,"""Single Door"", ""Double Door"", ""Side-by-side Door""",160/-,30 min,"Price covers diagnosis visit; spare parts are charged
based on the rate card.",                                                                                      ,"How it works                                                              Refrigerator checkup
The professional visits your home to
diagnose the problem. Final cost
provided post-diagnosis.
Adjustment of inspection fee
If you decide to go ahead with the repair,
the inspection fee will be adjusted in the
final bill
Fixed rate spare parts
High-quality spare parts are procured and
used for repair
Standardised repair process
The trained professional handles and works on the appliance with utmost care                             "
Service Clean up,Water Purifier,0,,299/-,30 min,"• Includes full Water Purifier checkup - Spare part
charges extra as per rate card
• Visit charge will be adjusted in final invoice post
service/repair",,"Know more about RO Servicing
Ideal Duration
It is important to get your Water Purifier serviced regularly
every 3-4 months to ensure proper filteration
Need for Servicing
Regular Servicing ensures all filters and membane are working
properly & keeps your water free from impurities and foul
smell
Filter Replacement
It is advised to also get your filter replaced along with the
servicing, as contaminants from the water can clog filter pores
even in a short span
Increased Machine Life
Regular servicing helps elongate the life of certain key
components like Membrane & also of the overall Water
Purifier                                                                                            "
RO Not Working,Water Purifier,0,,249/-,30 min,"• Price includes visit & diagnosis charge only
• Spare part charges are extra as per rate card",,"Know more about RO Servicing
Ideal Duration
It is important to get your Water Purifier serviced regularly
every 3-4 months to ensure proper filteration
Need for Servicing
Regular Servicing ensures all filters and membane are working
properly & keeps your water free from impurities and foul
smell
Filter Replacement
It is advised to also get your filter replaced along with the
servicing, as contaminants from the water can clog filter pores
even in a short span
Increased Machine Life
Regular servicing helps elongate the life of certain key
components like Membrane & also of the overall Water
Purifier                                                                                            "
